computer_No,department,user,computer_name,ip,processor,MOBO,power_supply,ram,SSD,OS
83,QC,KSDavis,LENOVO_LAPTOP19,192.168.1.138,Intel Core i7-8265 CPU @ 1.80Ghz,x,x,DDR4 16GB,SSD M.2 500GB,Windows 10 Pro 64-bit
84,QC,LPAlcido,QC_WKS02,192.168.1.108,Intel Core i5-10400 CPU @ 2.90GHz,ASUS H610M-K,NEUTRON ELECTRON 550W,FURY DDR4 8GB,HIKSEMI 512GB SSD,Windows 10 Pro 64-bit
85,QC,AMNavarez,QC_WKS03,192.168.1.109,Intel Core i3-3240 CPU @ 3.40GHz,Asus H81M-D,ELECTRON 530W,8GB,HIKSEMI 500GB SSD,Windows 10 Pro 64-bit
86,QC,AMNavarez,QC_WKS04,192.168.1.110,Intel Core i5-10400 CPU @ 2.90GHz,HP MS-7525,NEUTRON 218W,FURY DDR3 8GB,HIKSEMI 500GB SSD,Windows 10 Pro 64-bit
87,QC,EADeGuzman,QC_WKS05,192.168.1.111,Intel Core i5-10400 CPU @ 2.90GHz,Asus Prime H510M-K,Neutron ATX-700W,FURY DDR3 8GB,HIKSEMI 500GB SSD,Windows 10 Pro 64-bit
88,QC,JSMatienzo,QC_WKS06,192.168.1.112,Intel Core i5-10400 CPU @ 2.90GHz,INTEL DESKTOP BOARD,FRONTIER ,Kingston DDR3 4GB / Kingston DDR3 4GB,SEAGATE 500GB,Windows 10 Pro 64-bit
89,QC,AMBeatriz,QC_WKS07,192.168.1.113,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,Asus H81M-D,Thermaltake 530W,Kingston DDR3 4GB / Kingston DDR3 4GB,Samsung SSD 500GB,Windows 10 Pro 64-bit
90,QC,MEGarcia,QC_WKS08,192.168.1.107,Intel Core i3-3240 CPU @ 3.40GHz,Asus H61M-C,Generic 600W,Kinston DDR3 4GB / Samsung DDR3 2GB,Western Digital HDD 500GB,Windows 10 Pro 64-bit
91,RAD,OYLicuanan,RAD_WKS01,192.168.1.139,Intel Core i3-4170 CPU @ 3.70GHz,Asus H81M-D,THERMALTAKE 750W,Hyper X DDR3 8GB RAM,HIKSEMI 500GB SSD,Windows 10 Pro 64-bit
92,RAD,MOVillamayor,ACER_LAPTOP07,192.168.1.117,Intel® Core™ i5-1135G7,,,8GB Ram DDR4,SSD 500GB,Windows 10 Pro 64-bit
93,RAD,JCModelo,RAD_WKS02,192.168.1.119,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,Asus P8H77-M LE,Intelligent 700W,Hyper X DDR3 8GB,Samsung SSD 500GB,Windows 10 Pro 64-bit
94,RAD,JJNecio,RAD_WKS03,192.168.1.118,Intel Core i7-10700 CPU @ 2.90GHz,ASUS H510M-K R2.0,Generic 600W,FURY DDR4 8gb RAM,HIKSEMI 500GB SSD,Windows 10 Pro 64-bit
95,VALIDATION,PMSunglao,ACER_LAPTOP02,192.168.1.140,Intel® Core™ i5-1135G7,x,x,DDR4 8GB,SSD 500GB,Windows 11 Pro 64-bit
96,VALIDATION,MBMaca,LENOVO_WKS17,192.168.1.121,Intel Core i5-7500 CPU @ 3.40Ghz,Lenovo IB250MH,Huntkey 210W,kingston DDR4 8GB,HIKSEMI 500GB SSD,Windows 10 Pro 64-bit
97,VALIDATION,JVMariano,LENOVO_WKS10,192.168.1.122,Intel Core i5-7500 CPU @ 3.40Ghz,Lenovo IB250MH,Huntkey 180W,Samsung DDR3 8GB,HIKSEMI 512GB SSD,Windows 10 Pro 64-bit
98,VALIDATION,JLJavier,LENOVO_WKS21,192.168.1.123,Intel Core i5-10400 CPU @ 2.90GHz,Lenovo L470MS,Huntkey 180W,Hynix DDR4 8GB,Western Digital HDD 1TB,Windows 10 Pro 64-bit
